"Scenario","Year","Mean_Sea_Level_m","Portland_Annual_Temp","Belfast_Annual_Temp","Moosehead_Annual_Temp","Gardiner_Annual_Temp","Augusta_Annual_Temp","Annual_NAO","Civilian_Population_Millions","State_Population","species","Total_Weight_kg","Total_Value","Avg_Market_Price","County","Lobster_Pounds","Lobster_Value","ENSO_Phase","Portland_Annual_Precip","Belfast_Annual_Precip","Moosehead_Annual_Precip","Gardiner_Annual_Precip","Augusta_Annual_Precip","GDP..Billions.of.US...","Per.Capita..US...","Annual...Change","Civilian.Population..Millions.","Fresh.And.Frozen..Pounds.","Canned..Pounds.","Cured..Pounds.","Total..Pounds.","Fishery_Exports","Predicted_Landings","Predicted_Consumption","Predicted_Exports","Predicted_Market_Value","Predicted_Blue_Economy_Value"
"Baseline",2040,2.18115067362173,48.647705310765,54.005586524563,54.711359052648,46.7758967104129,46.7758967104129,0.0516847579176742,385.931815329153,1531265.63324494,"Yellow Eel",2411390.91426667,8214,3.19984417608103,"YORK",3747664,19546973,1,52.4,53.53,50.15,43.04,43.04,1345770,0.42,0.09,327.1,15.1,3.8,0.3,19.3,5030274,2411390.91426667,18.8924999999997,5254352.875,2.39288951450553,5554863.8696
"Low_Climate",2020,2.14057669631836,47.6642779785755,51.6908669120731,45.2266076346275,46.3049793633605,46.3049793633605,0.0110275863263301,333.163699642443,1392686.06693021,"Yellow Eel",2514284.71625,8214,3.19984417608103,"YORK",3747664,19546973,1,52.4,53.53,50.15,43.04,43.04,1345770,0.42,0.09,327.1,15.1,3.8,0.3,19.3,5030274,2514284.71625,19.1928999999998,5274744.999,2.39551691040305,7285702.70666667
"Low_Climate",2021,2.14288039518353,47.735949345185,51.8291028926976,45.7233452055285,46.3510252307131,46.3510252307131,0.0130604449058973,335.802105426778,1399615.04524595,"Yellow Eel",2370279.58425,8214,3.19984417608103,"YORK",3747664,19546973,1,52.4,53.53,50.15,43.04,43.04,1345770,0.42,0.09,327.1,15.1,3.8,0.3,19.3,5030274,2370279.58425,18.8924999999997,5254352.875,2.39288951450553,5554863.8696
"Low_Climate",2022,2.1457340940487,47.8076207117944,51.9673388733221,46.2200827764296,46.3970710980657,46.3970710980657,0.0150933034854646,338.440511211114,1406544.02356168,"Yellow Eel",2386173.3341,8214,3.19984417608103,"YORK",3747664,19546973,1,52.4,53.53,50.15,43.04,43.04,1345770,0.42,0.09,327.1,15.1,3.8,0.3,19.3,5030274,2386173.3341,18.8924999999997,5254352.875,2.39288951450553,5554863.8696
"Low_Climate",2023,2.14913779291387,47.8792920784039,52.1055748539466,46.7168203473306,46.4431169654184,46.4431169654184,0.0171261620650318,341.07891699545,1413473.00187742,"Yellow Eel",2386336.6031,8214,3.19984417608103,"YORK",3747664,19546973,1,52.4,53.53,50.15,43.04,43.04,1345770,0.42,0.09,327.1,15.1,3.8,0.3,19.3,5030274,2386336.6031,18.8924999999997,5254352.875,2.39288951450553,5554863.8696
"Low_Climate",2024,2.15309149177903,47.9509634450134,52.2438108345711,47.2135579182317,46.489162832771,46.489162832771,0.0191590206445991,343.717322779785,1420401.98019315,"Yellow Eel",2387288.1741,8214,3.19984417608103,"YORK",3747664,19546973,1,52.4,53.53,50.15,43.04,43.04,1345770,0.42,0.09,327.1,15.1,3.8,0.3,19.3,5030274,2387288.1741,18.8924999999997,5254352.875,2.39288951450553,5554863.8696
"Low_Climate",2025,2.1575951906442,48.0226348116229,52.3820468151956,47.7102954891326,46.5352087001236,46.5352087001236,0.0211918792241663,346.355728564121,1427330.95850889,"Yellow Eel",2406365.9991,8214,3.19984417608103,"YORK",3747664,19546973,1,52.4,53.53,50.15,43.04,43.04,1345770,0.42,0.09,327.1,15.1,3.8,0.3,19.3,5030274,2406365.9991,18.8924999999997,5254352.875,2.39288951450553,5554863.8696
"Low_Climate",2026,2.16264888950937,48.0943061782323,52.5202827958201,48.2070330600336,46.5812545674762,46.5812545674762,0.0232247378037336,348.994134348456,1434259.93682463,"Yellow Eel",2427222.62926667,8214,3.19984417608103,"YORK",3747664,19546973,1,52.4,53.53,50.15,43.04,43.04,1345770,0.42,0.09,327.1,15.1,3.8,0.3,19.3,5030274,2427222.62926667,18.8924999999997,5254352.875,2.39288951450553,5554863.8696
"Low_Climate",2027,2.16825258837454,48.1659775448418,52.6585187764446,48.7037706309347,46.6273004348288,46.6273004348288,0.0252575963833008,351.632540132792,1441188.91514037,"Yellow Eel",2427514.80526667,8214,3.19984417608103,"YORK",3747664,19546973,1,52.4,53.53,50.15,43.04,43.04,1345770,0.42,0.09,327.1,15.1,3.8,0.3,19.3,5030274,2427514.80526667,18.8924999999997,5254352.875,2.39288951450553,5554863.8696
"Low_Climate",2028,2.17440628723971,48.2376489114513,52.7967547570691,49.2005082018357,46.6733463021815,46.6733463021815,0.0272904549628681,354.270945917127,1448117.8934561,"Yellow Eel",2419777.03826667,8214,3.19984417608103,"YORK",3747664,19546973,1,52.4,53.53,50.15,43.04,43.04,1345770,0.42,0.09,327.1,15.1,3.8,0.3,19.3,5030274,2419777.03826667,18.8924999999997,5254352.875,2.39288951450553,5554863.8696
"Low_Climate",2029,2.18110998610488,48.3093202780607,52.9349907376936,49.6972457727368,46.7193921695341,46.7193921695341,0.0293233135424353,356.909351701463,1455046.87177184,"Yellow Eel",2417178.04426667,8214,3.19984417608103,"YORK",3747664,19546973,1,52.4,53.53,50.15,43.04,43.04,1345770,0.42,0.09,327.1,15.1,3.8,0.3,19.3,5030274,2417178.04426667,18.8924999999997,5254352.875,2.39288951450553,5554863.8696
"Low_Climate",2030,2.18836368497004,48.3809916446702,53.0732267183181,50.1939833436378,46.7654380368867,46.7654380368867,0.0313561721220026,359.547757485799,1461975.85008758,"Yellow Eel",2412650.21726667,8214,3.19984417608103,"YORK",3747664,19546973,1,52.4,53.53,50.15,43.04,43.04,1345770,0.42,0.09,327.1,15.1,3.8,0.3,19.3,5030274,2412650.21726667,18.8924999999997,5254352.875,2.39288951450553,5554863.8696
"Low_Climate",2031,2.19616738383521,48.4526630112797,53.2114626989426,50.6907209145388,46.8114839042393,46.8114839042393,0.0333890307015698,362.186163270134,1468904.82840331,"Yellow Eel",2410663.66126667,8214,3.19984417608103,"YORK",3747664,19546973,1,52.4,53.53,50.15,43.04,43.04,1345770,0.42,0.09,327.1,15.1,3.8,0.3,19.3,5030274,2410663.66126667,18.8924999999997,5254352.875,2.39288951450553,5554863.8696
"Low_Climate",2032,2.20452108270038,48.5243343778892,53.3496986795671,51.1874584854399,46.8575297715919,46.8575297715919,0.0354218892811371,364.824569054469,1475833.80671905,"Yellow Eel",2412194.13326667,8214,3.19984417608103,"YORK",3747664,19546973,1,52.4,53.53,50.15,43.04,43.04,1345770,0.42,0.09,327.1,15.1,3.8,0.3,19.3,5030274,2412194.13326667,18.8924999999997,5254352.875,2.39288951450553,5554863.8696
"Low_Climate",2033,2.21342478156555,48.5960057444986,53.4879346601915,51.6841960563408,46.9035756389446,46.9035756389446,0.0374547478607044,367.462974838805,1482762.78503479,"Yellow Eel",2396253.18426667,8214,3.19984417608103,"YORK",3747664,19546973,1,52.4,53.53,50.15,43.04,43.04,1345770,0.42,0.09,327.1,15.1,3.8,0.3,19.3,5030274,2396253.18426667,18.8924999999997,5254352.875,2.39288951450553,5554863.8696
