"Model","RMSE_Train","RMSE_Test","R2_Train","R2_Test","Species"
"Exports Model",63576.9816714799,61070.3166008891,0.99881020132228,0.999017178376836,"Alewife"
"Market Value Model",0.00319257400621288,0.00403595327530373,0.999230087065138,0.998961916311655,"Alewife"
"Blue Economy Model",110779.625137696,13639.6676006433,0.920408930772798,0.996893522613874,"Alewife"
"Landings Model",192373.632464747,10751131.088541,0.942709121542942,0.127348378995819,"Alewife"
"Consumption Model",0.101409852189764,0.085781112263962,0.998641218251306,0.998872794045854,"Alewife"
"Exports Model",63576.9816714799,61070.3166008891,0.99881020132228,0.999017178376836,"Alewife"
"Market Value Model",0.00175962138912241,0.00212604865542433,0.999727140807335,0.999657799647688,"Alewife"
"Blue Economy Model",119040.866143011,26956.5308997407,0.905624705116275,0.988398092138688,"Alewife"
"Landings Model",192373.632464747,10751131.088541,0.942709121542942,0.127348378995819,"Alewife"
"Consumption Model",0.101409852189764,0.085781112263962,0.998641218251306,0.998872794045854,"Alewife"
"Exports Model",63576.9816714799,61070.3166008891,0.99881020132228,0.999017178376836,"Alewife"
"Market Value Model",0.00175962138912241,0.00212604865542433,0.999727140807335,0.999657799647688,"Alewife"
"Blue Economy Model",101278.309779021,10516.4735728152,0.937482459225138,0.998429490267453,"Alewife"
"Landings Model",192373.632464747,10751131.088541,0.942709121542942,0.127348378995819,"Alewife"
"Consumption Model",0.101409852189764,0.085781112263962,0.998641218251306,0.998872794045854,"Alewife"
"Exports Model",63576.9816714799,61070.3166008891,0.99881020132228,0.999017178376836,"Alewife"
"Market Value Model",0.00175962138912241,0.00212604865542433,0.999727140807335,0.999657799647688,"Alewife"
"Blue Economy Model",96971.4060894323,7347.04795565344,0.942516660856472,0.999097460926961,"Alewife"
"Landings Model",192373.632464747,10751131.088541,0.942709121542942,0.127348378995819,"Alewife"
"Consumption Model",0.101409852189764,0.085781112263962,0.998641218251306,0.998872794045854,"Alewife"
"Exports Model",63576.9816714799,61070.3166008891,0.99881020132228,0.999017178376836,"Alewife"
"Market Value Model",0.0018446643081141,0.00232166364405245,0.999703655314148,0.999599466274373,"Alewife"
"Blue Economy Model",104932.801612731,14688.086797016,0.930987398776715,0.995678716574635,"Alewife"
"Landings Model",192373.632464747,10751131.088541,0.942709121542942,0.127348378995819,"Alewife"
"Consumption Model",0.101409852189764,0.085781112263962,0.998641218251306,0.998872794045854,"Alewife"
"Exports Model",63576.9816714799,61070.3166008891,0.99881020132228,0.999017178376836,"Alewife"
"Market Value Model",0.0018446643081141,0.00232166364405245,0.999703655314148,0.999599466274373,"Alewife"
"Blue Economy Model",104932.801612731,14688.086797016,0.930987398776715,0.995678716574635,"Alewife"
"Landings Model",192373.632464747,10751131.088541,0.942709121542942,0.127348378995819,"Alewife"
"Consumption Model",0.101409852189764,0.085781112263962,0.998641218251306,0.998872794045854,"Alewife"
"Exports Model",63576.9816714799,61070.3166008891,0.99881020132228,0.999017178376836,"Alewife"
"Market Value Model",0.0018446643081141,0.00232166364405245,0.999703655314148,0.999599466274373,"Alewife"
"Blue Economy Model",100512.563685311,5314.54778570411,0.937573214777637,0.99944847938792,"Alewife"
"Landings Model",21436.7060514343,67573.5394439555,0.963321139208774,0.573038345461107,"Bloodworms"
"Consumption Model",0.0870465413815265,0.120998328940469,0.998412032918375,0.997368954860657,"Bloodworms"
"Exports Model",99627.5765405771,82675.667366985,0.996707421124779,0.996443598989057,"Bloodworms"
"Landings Model",21436.7060514343,67573.5394439555,0.963321139208774,0.573038345461107,"Bloodworms"
"Consumption Model",0.0870465413815265,0.120998328940469,0.998412032918375,0.997368954860657,"Bloodworms"
"Exports Model",99627.5765405771,82675.667366985,0.996707421124779,0.996443598989057,"Bloodworms"
"Market Value Model",0.184870896568347,0.0764368272944235,0.998386111885408,0.999704019598981,"Bloodworms"
"Landings Model",21436.7060514343,67573.5394439555,0.963321139208774,0.573038345461107,"Bloodworms"
"Consumption Model",0.0870465413815265,0.120998328940469,0.998412032918375,0.997368954860657,"Bloodworms"
"Exports Model",99627.5765405771,82675.667366985,0.996707421124779,0.996443598989057,"Bloodworms"
"Market Value Model",0.184870896568347,0.0764368272944235,0.998386111885408,0.999704019598981,"Bloodworms"
"Landings Model",21436.7060514343,67573.5394439555,0.963321139208774,0.573038345461107,"Bloodworms"
"Consumption Model",0.0870465413815265,0.120998328940469,0.998412032918375,0.997368954860657,"Bloodworms"
"Exports Model",99627.5765405771,82675.667366985,0.996707421124779,0.996443598989057,"Bloodworms"
"Market Value Model",0.184870896568347,0.0764368272944235,0.998386111885408,0.999704019598981,"Bloodworms"
"Blue Economy Model",99332.6345278653,77818.0808188637,0.997302876889899,0.998189591346161,"Bloodworms"
"Landings Model",21436.7060514343,67573.5394439555,0.963321139208774,0.573038345461107,"Bloodworms"
"Consumption Model",0.0870465413815265,0.120998328940469,0.998412032918375,0.997368954860657,"Bloodworms"
"Exports Model",99627.5765405771,82675.667366985,0.996707421124779,0.996443598989057,"Bloodworms"
"Market Value Model",0.184870896568347,0.0764368272944235,0.998386111885408,0.999704019598981,"Bloodworms"
"Blue Economy Model",101479.510850002,74067.7383846654,0.99716066707759,0.998365217675448,"Bloodworms"
"Landings Model",21159.348951077,66390.3954998648,0.963658285429456,0.588277815426301,"Bloodworms"
"Consumption Model",0.0993213081181251,0.0753948995143598,0.997910892907341,0.99903869430548,"Bloodworms"
"Exports Model",91438.6517355629,121917.547295733,0.997134382284773,0.994141304509035,"Bloodworms"
"Market Value Model",0.161796634059013,0.187261841177293,0.998777956635925,0.997898658997166,"Bloodworms"
"Blue Economy Model",101966.709949316,33616.259376471,0.997092629342828,0.999742924393042,"Bloodworms"
"Landings Model",21159.348951077,66390.3954998648,0.963658285429456,0.588277815426301,"Bloodworms"
"Consumption Model",0.0993213081181251,0.0753948995143598,0.997910892907341,0.99903869430548,"Bloodworms"
"Exports Model",91438.6517355629,121917.547295733,0.997134382284773,0.994141304509035,"Bloodworms"
"Market Value Model",0.161796634059013,0.187261841177293,0.998777956635925,0.997898658997166,"Bloodworms"
"Blue Economy Model",107593.130987486,37680.174310364,0.996779619437974,0.999765523576981,"Bloodworms"
"Landings Model",21159.348951077,66390.3954998648,0.963658285429456,0.588277815426301,"Bloodworms"
"Consumption Model",0.0993213081181251,0.0753948995143598,0.997910892907341,0.99903869430548,"Bloodworms"
"Exports Model",55966.4732384728,50483.8655429332,0.998906567234886,0.998531568529412,"Bloodworms"
"Market Value Model",0.119974723949544,0.0733979135301768,0.999275520610617,0.999855396630776,"Bloodworms"
"Blue Economy Model",99885.3904623867,51658.1696501315,0.997091403669641,0.999411109433633,"Bloodworms"
"Landings Model",21159.348951077,66390.3954998648,0.963658285429456,0.588277815426301,"Bloodworms"
"Consumption Model",0.0993213081181251,0.0753948995143598,0.997910892907341,0.99903869430548,"Bloodworms"
"Exports Model",55966.4732384728,50483.8655429332,0.998906567234886,0.998531568529412,"Bloodworms"
"Market Value Model",0.130201499998172,0.0908136697238539,0.99915504317221,0.999756216574845,"Bloodworms"
"Blue Economy Model",97841.8100563473,57092.656040007,0.99743251175046,0.998998043105205,"Bloodworms"
"Landings Model",21159.348951077,66390.3954998648,0.963658285429456,0.588277815426301,"Bloodworms"
"Consumption Model",0.0993213081181251,0.0753948995143598,0.997910892907341,0.99903869430548,"Bloodworms"
"Exports Model",55966.4732384728,50483.8655429332,0.998906567234886,0.998531568529412,"Bloodworms"
"Market Value Model",0.149578989202649,0.121032228916502,0.99887944785748,0.999434228787036,"Bloodworms"
"Blue Economy Model",95990.6079517089,46074.6478910829,0.997136482322004,0.999567682103915,"Bloodworms"
"Landings Model",21159.348951077,66390.3954998648,0.963658285429456,0.588277815426301,"Bloodworms"
"Consumption Model",0.0993213081181251,0.0753948995143598,0.997910892907341,0.99903869430548,"Bloodworms"
"Exports Model",55966.4732384728,50483.8655429332,0.998906567234886,0.998531568529412,"Bloodworms"
"Market Value Model",0.172300417545838,0.200187723970624,0.998748758251572,0.998536080017616,"Bloodworms"
"Blue Economy Model",96876.6444395089,66854.0401731395,0.997346893127692,0.998889469704922,"Bloodworms"
"Landings Model",21697.0778885843,64683.2234686364,0.965661895760795,0.638706702214101,"Bloodworms"
"Consumption Model",0.0808409419519736,0.123319467256878,0.998618763149329,0.99728793936505,"Bloodworms"
"Exports Model",68560.9488995416,55357.8789202511,0.99831538677885,0.99879105580273,"Bloodworms"
"Market Value Model",0.184890143542339,0.189375899814668,0.998263293144184,0.999225111425205,"Bloodworms"
"Blue Economy Model",90892.9771758161,89611.6312617833,0.997714592706761,0.997752890128223,"Bloodworms"
"Landings Model",21697.0778885843,64683.2234686364,0.965661895760795,0.638706702214101,"Bloodworms"
"Consumption Model",0.0808409419519736,0.123319467256878,0.998618763149329,0.99728793936505,"Bloodworms"
"Exports Model",68560.9488995416,55357.8789202511,0.99831538677885,0.99879105580273,"Bloodworms"
"Market Value Model",0.156140305807811,0.100090084600862,0.99865095081316,0.999583004761996,"Bloodworms"
"Blue Economy Model",88086.7560669447,109468.436553047,0.997951533125296,0.996934716613925,"Bloodworms"
"Landings Model",21697.0778885843,64683.2234686364,0.965661895760795,0.638706702214101,"Bloodworms"
"Consumption Model",0.0808409419519736,0.123319467256878,0.998618763149329,0.99728793936505,"Bloodworms"
"Exports Model",68560.9488995416,55357.8789202511,0.99831538677885,0.99879105580273,"Bloodworms"
"Market Value Model",0.156140305807811,0.100090084600862,0.99865095081316,0.999583004761996,"Bloodworms"
"Blue Economy Model",92125.5495802307,108393.748606082,0.997788854213091,0.997021541597668,"Bloodworms"
"Landings Model",21697.0778885843,64683.2234686364,0.965661895760795,0.638706702214101,"Bloodworms"
"Consumption Model",0.0808409419519736,0.123319467256878,0.998618763149329,0.99728793936505,"Bloodworms"
"Exports Model",68560.9488995416,55357.8789202511,0.99831538677885,0.99879105580273,"Bloodworms"
"Market Value Model",0.156140305807811,0.100090084600862,0.99865095081316,0.999583004761996,"Bloodworms"
"Blue Economy Model",86684.2510930105,97991.8876378381,0.997983445599679,0.997526202764586,"Bloodworms"
"Landings Model",21697.0778885843,64683.2234686364,0.965661895760795,0.638706702214101,"Bloodworms"
"Consumption Model",0.0808409419519736,0.123319467256878,0.998618763149329,0.99728793936505,"Bloodworms"
"Exports Model",68560.9488995416,55357.8789202511,0.99831538677885,0.99879105580273,"Bloodworms"
"Market Value Model",0.146871895451546,0.10841588714679,0.998824340860426,0.999565427358793,"Bloodworms"
"Blue Economy Model",94968.9732996464,150075.061732703,0.997621272744955,0.993998189072832,"Bloodworms"
"Landings Model",21697.0778885843,64683.2234686364,0.965661895760795,0.638706702214101,"Bloodworms"
"Consumption Model",0.0808409419519736,0.123319467256878,0.998618763149329,0.99728793936505,"Bloodworms"
"Exports Model",68560.9488995416,55357.8789202511,0.99831538677885,0.99879105580273,"Bloodworms"
"Market Value Model",0.146871895451546,0.10841588714679,0.998824340860426,0.999565427358793,"Bloodworms"
"Blue Economy Model",101054.623807023,187021.218975723,0.997230712928214,0.990651207927245,"Bloodworms"
"Landings Model",62491.5565864076,65688.6193780929,0.990554130405248,0.991328461322435,"Clam_Northern_Quahog___Hard"
"Consumption Model",0.103184558207522,0.0922612693389276,0.997769549482059,0.998155778653768,"Clam_Northern_Quahog___Hard"
"Exports Model",70014.0629474807,189524.455871791,0.998182260023172,0.984960121589509,"Clam_Northern_Quahog___Hard"
"Landings Model",62491.5565864076,65688.6193780929,0.990554130405248,0.991328461322435,"Clam_Northern_Quahog___Hard"
"Consumption Model",0.103184558207522,0.0922612693389276,0.997769549482059,0.998155778653768,"Clam_Northern_Quahog___Hard"
"Exports Model",70014.0629474807,189524.455871791,0.998182260023172,0.984960121589509,"Clam_Northern_Quahog___Hard"
"Market Value Model",0.0247474761296355,0.0334515193621367,0.997311239839093,0.995047715531155,"Clam_Northern_Quahog___Hard"
"Landings Model",62491.5565864076,65688.6193780929,0.990554130405248,0.991328461322435,"Clam_Northern_Quahog___Hard"
"Consumption Model",0.103184558207522,0.0922612693389276,0.997769549482059,0.998155778653768,"Clam_Northern_Quahog___Hard"
"Exports Model",70014.0629474807,189524.455871791,0.998182260023172,0.984960121589509,"Clam_Northern_Quahog___Hard"
"Market Value Model",0.0247474761296355,0.0334515193621367,0.997311239839093,0.995047715531155,"Clam_Northern_Quahog___Hard"
"Landings Model",62491.5565864076,65688.6193780929,0.990554130405248,0.991328461322435,"Clam_Northern_Quahog___Hard"
"Consumption Model",0.103184558207522,0.0922612693389276,0.997769549482059,0.998155778653768,"Clam_Northern_Quahog___Hard"
"Exports Model",70014.0629474807,189524.455871791,0.998182260023172,0.984960121589509,"Clam_Northern_Quahog___Hard"
"Market Value Model",0.0247474761296355,0.0334515193621367,0.997311239839093,0.995047715531155,"Clam_Northern_Quahog___Hard"
"Blue Economy Model",15357.8544602539,12023.2102586766,0.999776919451361,0.999716673124964,"Clam_Northern_Quahog___Hard"
"Landings Model",62491.5565864076,65688.6193780929,0.990554130405248,0.991328461322435,"Clam_Northern_Quahog___Hard"
"Consumption Model",0.103184558207522,0.0922612693389276,0.997769549482059,0.998155778653768,"Clam_Northern_Quahog___Hard"
"Exports Model",70014.0629474807,189524.455871791,0.998182260023172,0.984960121589509,"Clam_Northern_Quahog___Hard"
"Market Value Model",0.0247474761296355,0.0334515193621367,0.997311239839093,0.995047715531155,"Clam_Northern_Quahog___Hard"
"Blue Economy Model",13041.2638548519,28610.5785088606,0.999841241379614,0.998371258313155,"Clam_Northern_Quahog___Hard"
"Landings Model",63998.0218740104,62168.863576215,0.990030421133051,0.992157732564007,"Clam_Northern_Quahog___Hard"
"Consumption Model",0.105303082441941,0.0825451783200047,0.997388259926063,0.999320675590931,"Clam_Northern_Quahog___Hard"
"Exports Model",93539.8675578053,159248.680304873,0.996567081426358,0.990558856704565,"Clam_Northern_Quahog___Hard"
"Market Value Model",0.0263407845527938,0.0277806018739986,0.997078974238716,0.995850432985024,"Clam_Northern_Quahog___Hard"
"Blue Economy Model",17333.3859399879,10025.1389536742,0.999720370042875,0.999815730729782,"Clam_Northern_Quahog___Hard"
"Landings Model",63998.0218740104,62168.863576215,0.990030421133051,0.992157732564007,"Clam_Northern_Quahog___Hard"
"Consumption Model",0.105303082441941,0.0825451783200047,0.997388259926063,0.999320675590931,"Clam_Northern_Quahog___Hard"
"Exports Model",93539.8675578053,159248.680304873,0.996567081426358,0.990558856704565,"Clam_Northern_Quahog___Hard"
"Market Value Model",0.0263407845527938,0.0277806018739986,0.997078974238716,0.995850432985024,"Clam_Northern_Quahog___Hard"
"Blue Economy Model",20836.9344061576,9308.71686588845,0.999610904335061,0.999856587323266,"Clam_Northern_Quahog___Hard"
"Landings Model",63998.0218740104,62168.863576215,0.990030421133051,0.992157732564007,"Clam_Northern_Quahog___Hard"
"Consumption Model",0.105303082441941,0.0825451783200047,0.997388259926063,0.999320675590931,"Clam_Northern_Quahog___Hard"
"Exports Model",60857.806710769,14895.4957046326,0.998554831907138,0.999918646634528,"Clam_Northern_Quahog___Hard"
"Market Value Model",0.0222371348536217,0.0225270666511392,0.997657079361654,0.998026042399984,"Clam_Northern_Quahog___Hard"
"Blue Economy Model",16202.0766497705,9104.86027301886,0.999733542344197,0.999914006428261,"Clam_Northern_Quahog___Hard"
"Landings Model",63998.0218740104,62168.863576215,0.990030421133051,0.992157732564007,"Clam_Northern_Quahog___Hard"
"Consumption Model",0.105303082441941,0.0825451783200047,0.997388259926063,0.999320675590931,"Clam_Northern_Quahog___Hard"
"Exports Model",60857.806710769,14895.4957046326,0.998554831907138,0.999918646634528,"Clam_Northern_Quahog___Hard"
"Market Value Model",0.0218348382280491,0.0256715877021674,0.997803055571565,0.997423591618908,"Clam_Northern_Quahog___Hard"
"Blue Economy Model",12637.2492092893,25062.6422744902,0.999825401117236,0.999464719170075,"Clam_Northern_Quahog___Hard"
"Landings Model",63998.0218740104,62168.863576215,0.990030421133051,0.992157732564007,"Clam_Northern_Quahog___Hard"
"Consumption Model",0.105303082441941,0.0825451783200047,0.997388259926063,0.999320675590931,"Clam_Northern_Quahog___Hard"
"Exports Model",60857.806710769,14895.4957046326,0.998554831907138,0.999918646634528,"Clam_Northern_Quahog___Hard"
"Market Value Model",0.0231550062441977,0.0230530381777672,0.997487728502936,0.997896966736857,"Clam_Northern_Quahog___Hard"
"Blue Economy Model",13123.123284256,24004.7989109677,0.999833448552834,0.999244261037059,"Clam_Northern_Quahog___Hard"
"Landings Model",63998.0218740104,62168.863576215,0.990030421133051,0.992157732564007,"Clam_Northern_Quahog___Hard"
"Consumption Model",0.105303082441941,0.0825451783200047,0.997388259926063,0.999320675590931,"Clam_Northern_Quahog___Hard"
"Exports Model",60857.806710769,14895.4957046326,0.998554831907138,0.999918646634528,"Clam_Northern_Quahog___Hard"
"Market Value Model",0.028335462870203,0.0398412346948232,0.996433083256622,0.994335320829907,"Clam_Northern_Quahog___Hard"
"Blue Economy Model",19456.6734348964,9988.5081301757,0.999614366952925,0.999892598585029,"Clam_Northern_Quahog___Hard"
"Landings Model",22777.5788377895,237816.128403968,0.998860067342383,0.860239895240844,"Clam_Northern_Quahog___Hard"
"Consumption Model",0.103585386490701,0.108257833593682,0.997239331292159,0.998279598866841,"Clam_Northern_Quahog___Hard"
"Exports Model",54587.0674092475,94323.3370986584,0.998732718206629,0.997106833931746,"Clam_Northern_Quahog___Hard"
"Market Value Model",0.0327829344950241,0.0253322399987169,0.995102798321271,0.997737350726554,"Clam_Northern_Quahog___Hard"
"Blue Economy Model",14471.5425920121,8087.38562063887,0.999771600174716,0.999941345189709,"Clam_Northern_Quahog___Hard"
"Landings Model",22777.5788377895,237816.128403968,0.998860067342383,0.860239895240844,"Clam_Northern_Quahog___Hard"
"Consumption Model",0.103585386490701,0.108257833593682,0.997239331292159,0.998279598866841,"Clam_Northern_Quahog___Hard"
"Exports Model",54587.0674092475,94323.3370986584,0.998732718206629,0.997106833931746,"Clam_Northern_Quahog___Hard"
"Market Value Model",0.0239388646396709,0.0256512229771318,0.997221459322592,0.997476819059348,"Clam_Northern_Quahog___Hard"
"Blue Economy Model",7596.64204266222,19751.6651277614,0.999940179060938,0.999635950197751,"Clam_Northern_Quahog___Hard"
"Landings Model",22777.5788377895,237816.128403968,0.998860067342383,0.860239895240844,"Clam_Northern_Quahog___Hard"
"Consumption Model",0.103585386490701,0.108257833593682,0.997239331292159,0.998279598866841,"Clam_Northern_Quahog___Hard"
"Exports Model",54587.0674092475,94323.3370986584,0.998732718206629,0.997106833931746,"Clam_Northern_Quahog___Hard"
"Market Value Model",0.0239388646396709,0.0256512229771318,0.997221459322592,0.997476819059348,"Clam_Northern_Quahog___Hard"
"Blue Economy Model",10732.1618788352,33082.3109088769,0.999885718449548,0.999042998105762,"Clam_Northern_Quahog___Hard"
"Landings Model",22777.5788377895,237816.128403968,0.998860067342383,0.860239895240844,"Clam_Northern_Quahog___Hard"
"Consumption Model",0.103585386490701,0.108257833593682,0.997239331292159,0.998279598866841,"Clam_Northern_Quahog___Hard"
"Exports Model",54587.0674092475,94323.3370986584,0.998732718206629,0.997106833931746,"Clam_Northern_Quahog___Hard"
"Market Value Model",0.0239388646396709,0.0256512229771318,0.997221459322592,0.997476819059348,"Clam_Northern_Quahog___Hard"
"Blue Economy Model",12154.2784327045,27250.6293241225,0.999840981794724,0.999314796331795,"Clam_Northern_Quahog___Hard"
"Landings Model",22777.5788377895,237816.128403968,0.998860067342383,0.860239895240844,"Clam_Northern_Quahog___Hard"
"Consumption Model",0.103585386490701,0.108257833593682,0.997239331292159,0.998279598866841,"Clam_Northern_Quahog___Hard"
"Exports Model",54587.0674092475,94323.3370986584,0.998732718206629,0.997106833931746,"Clam_Northern_Quahog___Hard"
"Market Value Model",0.0240341377870364,0.0268807183856863,0.99721619455385,0.997245400454607,"Clam_Northern_Quahog___Hard"
"Blue Economy Model",19387.9135623183,10460.5172434328,0.999593138243153,0.999903055471398,"Clam_Northern_Quahog___Hard"
"Landings Model",22777.5788377895,237816.128403968,0.998860067342383,0.860239895240844,"Clam_Northern_Quahog___Hard"
"Consumption Model",0.103585386490701,0.108257833593682,0.997239331292159,0.998279598866841,"Clam_Northern_Quahog___Hard"
"Exports Model",54587.0674092475,94323.3370986584,0.998732718206629,0.997106833931746,"Clam_Northern_Quahog___Hard"
"Market Value Model",0.0240341377870364,0.0268807183856863,0.99721619455385,0.997245400454607,"Clam_Northern_Quahog___Hard"
"Blue Economy Model",17992.3244219443,12214.6096865787,0.999648636475637,0.999868612726729,"Clam_Northern_Quahog___Hard"
"Landings Model",233573.291676869,1800185.43835646,0.991896662938514,0.553823956487344,"Clam_Ocean_Quahog"
"Consumption Model",0.137819372388648,0.118655098903637,0.984176105544086,0.996434502134562,"Clam_Ocean_Quahog"
"Exports Model",118126.400386112,96460.4569388894,0.988822252785489,0.995201708678746,"Clam_Ocean_Quahog"
"Landings Model",233573.291676869,1800185.43835646,0.991896662938514,0.553823956487344,"Clam_Ocean_Quahog"
"Consumption Model",0.137819372388648,0.118655098903637,0.984176105544086,0.996434502134562,"Clam_Ocean_Quahog"
"Exports Model",118126.400386112,96460.4569388894,0.988822252785489,0.995201708678746,"Clam_Ocean_Quahog"
"Market Value Model",0.013549531401757,0.0111539018438872,0.953438988723251,0.970754314451105,"Clam_Ocean_Quahog"
"Landings Model",233573.291676869,1800185.43835646,0.991896662938514,0.553823956487344,"Clam_Ocean_Quahog"
