"Date","Time (GMT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"1955/05/01","00:00","13.13","NaN","10.869","5.568","5.548","0.24","NaN","-2.372","0"
"1955/06/01","00:00","13.33","NaN","10.869","5.577","5.568","0.279","NaN","-2.07","0"
"1955/07/01","00:00","12.93","NaN","10.659","5.469","5.469","0.269","NaN","-1.972","0"
"1955/08/01","00:00","12.628","NaN","10.719","5.469","5.459","0.2","NaN","-1.772","0"
"1955/09/01","00:00","11.729","NaN","10.509","5.24","5.249","-0.02","NaN","-1.371","0"
"1955/10/01","00:00","12.73","NaN","10.778","5.489","5.479","0.18","NaN","-1.572","0"
"1955/11/01","00:00","13.33","NaN","10.82","5.509","5.499","0.18","NaN","-3.271","0"
"1955/12/01","00:00","13.228","NaN","10.518","5.079","5.089","-0.351","NaN","-2.671","0"
"1956/01/01","00:00","12.93","NaN","10.968","5.449","5.469","-0.03","NaN","-2.772","0"
"1956/02/01","00:00","12.93","NaN","10.577","5.24","5.22","-0.141","NaN","-2.972","0"
"1956/03/01","00:00","13.53","NaN","10.81","5.41","5.43","0.039","NaN","-1.572","0"
"1956/04/01","00:00","12.628","NaN","10.84","5.489","5.499","0.157","NaN","-1.47","0"
"1956/05/01","00:00","12.628","NaN","10.499","5.308","5.308","0.108","NaN","-1.972","0"
"1956/06/01","00:00","13.028","NaN","10.738","5.449","5.449","0.157","NaN","-2.07","0"
"1956/07/01","00:00","13.428","NaN","10.83","5.499","5.479","0.128","NaN","-1.972","0"
"1956/08/01","00:00","13.228","NaN","10.879","5.528","5.509","0.138","NaN","-2.172","0"
"1956/09/01","00:00","12.53","NaN","10.728","5.4","5.4","0.069","NaN","-1.87","0"
"1956/10/01","00:00","12.73","NaN","10.64","5.308","5.289","-0.072","NaN","-1.572","0"
"1956/11/01","00:00","12.228","NaN","10.787","5.479","5.469","0.157","NaN","-1.772","0"
"1956/12/01","00:00","12.828","NaN","10.568","5.308","5.318","0.069","NaN","-2.871","0"
"1957/01/01","00:00","NaN","NaN","10.41","5.148","5.157","-0.092","NaN","NaN","0"
"1957/02/01","00:00","13.33","NaN","10.568","5.279","5.259","-0.052","NaN","-2.27","0"
"1957/03/01","00:00","12.828","NaN","10.81","5.469","5.489","0.167","NaN","-2.172","0"
"1957/04/01","00:00","12.628","NaN","10.577","5.249","5.259","-0.062","NaN","-2.372","0"
"1957/05/01","00:00","12.329","NaN","10.778","5.479","5.469","0.157","NaN","-1.772","0"
"1957/06/01","00:00","13.13","NaN","10.778","5.459","5.459","0.138","NaN","-1.47","0"
"1957/07/01","00:00","13.13","NaN","10.997","5.518","5.538","0.079","NaN","-2.172","0"
"1957/08/01","00:00","12.828","NaN","10.797","5.358","5.358","-0.082","NaN","-2.172","0"
"1957/09/01","00:00","13.028","NaN","10.728","5.41","5.4","0.059","NaN","-1.972","0"
"1957/10/01","00:00","13.13","NaN","10.64","5.43","5.42","0.2","NaN","-2.27","0"
"1957/11/01","00:00","13.228","NaN","10.719","5.499","5.479","0.249","NaN","-1.772","0"
"1957/12/01","00:00","12.828","NaN","10.558","5.279","5.259","-0.043","NaN","-1.772","0"
"1958/01/01","00:00","13.33","NaN","11.079","5.679","5.699","0.308","NaN","-1.572","0"
"1958/02/01","00:00","13.33","NaN","11.079","5.62","5.64","0.19","NaN","-2.07","0"
"1958/03/01","00:00","13.53","NaN","11.309","5.938","5.899","0.489","NaN","-1.67","0"
"1958/04/01","00:00","13.93","NaN","11.24","5.709","5.719","0.19","NaN","-2.172","0"
"1958/05/01","00:00","12.93","NaN","10.958","5.377","5.377","-0.2","NaN","-2.671","0"
"1958/06/01","00:00","13.028","NaN","11.079","5.518","5.528","-0.02","NaN","-2.172","0"
"1958/07/01","00:00","12.73","NaN","10.968","5.489","5.489","0.01","NaN","-1.572","0"
"1958/08/01","00:00","12.828","NaN","10.899","5.459","5.479","0.059","NaN","-1.572","0"
"1958/09/01","00:00","13.028","NaN","10.997","5.577","5.568","0.138","NaN","-1.972","0"
"1958/10/01","00:00","12.93","NaN","10.909","5.577","5.6","0.279","NaN","-2.372","0"
"1958/11/01","00:00","13.33","NaN","10.738","5.469","5.449","0.157","NaN","-2.572","0"
"1958/12/01","00:00","13.428","NaN","10.669","5.279","5.299","-0.062","NaN","-2.671","0"
"1959/01/01","00:00","12.828","NaN","10.889","5.42","5.43","-0.02","NaN","-1.47","0"
"1959/02/01","00:00","NaN","NaN","10.62","5.18","5.19","-0.24","NaN","NaN","0"
"1959/03/01","00:00","13.13","NaN","10.889","5.348","5.348","-0.18","NaN","-2.47","0"
"1959/04/01","00:00","13.228","NaN","10.879","5.367","5.348","-0.18","NaN","-2.572","0"
"1959/05/01","00:00","13.13","NaN","10.689","5.249","5.299","-0.092","NaN","-2.972","0"
"1959/06/01","00:00","13.33","NaN","10.879","5.518","5.489","0.098","NaN","-1.972","0"
"1959/07/01","00:00","12.93","NaN","10.558","5.308","5.299","0.039","NaN","-1.87","0"
"1959/08/01","00:00","12.53","NaN","10.768","5.518","5.509","0.249","NaN","-1.371","0"
"1959/09/01","00:00","11.729","NaN","10.587","5.348","5.328","0.059","NaN","-1.171","0"
"1959/10/01","00:00","12.53","NaN","10.84","5.509","5.489","0.138","NaN","-1.67","0"
"1959/11/01","00:00","13.73","NaN","10.83","5.358","5.377","-0.072","NaN","-2.372","0"
"1959/12/01","00:00","14.928","NaN","11.089","5.509","5.538","-0.01","NaN","-2.572","0"
"1960/01/01","00:00","13.028","NaN","10.899","5.39","5.43","-0.043","NaN","-2.47","0"
"1960/02/01","00:00","13.629","NaN","11.188","5.81","5.81","0.44","NaN","-1.47","0"
"1960/03/01","00:00","12.53","NaN","11.079","5.659","5.65","0.22","NaN","-1.47","0"
"1960/04/01","00:00","12.73","NaN","10.958","5.62","5.587","0.21","NaN","-1.972","0"
"1960/05/01","00:00","NaN","NaN","10.958","5.689","5.689","0.42","NaN","NaN","0"
"1960/06/01","00:00","NaN","NaN","10.919","5.548","5.558","0.2","NaN","NaN","0"
"1960/07/01","00:00","NaN","NaN","10.81","5.43","5.43","0.049","NaN","NaN","0"
"1960/08/01","00:00","NaN","NaN","10.889","5.558","5.528","0.167","NaN","NaN","0"
"1960/09/01","00:00","12.73","NaN","10.909","5.499","5.489","0.069","NaN","-1.47","0"
"1960/10/01","00:00","13.13","NaN","10.928","5.568","5.568","0.2","NaN","-1.371","0"
"1960/11/01","00:00","12.93","NaN","10.879","5.469","5.489","0.089","NaN","-1.772","0"
"1960/12/01","00:00","13.73","NaN","10.748","5.308","5.318","-0.112","NaN","-2.572","0"
"1961/01/01","00:00","NaN","NaN","10.768","5.348","5.367","-0.03","NaN","NaN","0"
"1961/02/01","00:00","NaN","NaN","10.889","5.41","5.41","-0.072","NaN","NaN","0"
"1961/03/01","00:00","13.028","NaN","10.928","5.499","5.469","0.01","NaN","-2.27","0"
"1961/04/01","00:00","13.028","NaN","11.23","5.768","5.768","0.318","NaN","-1.47","0"
"1961/05/01","00:00","12.53","NaN","11.04","5.577","5.6","0.157","NaN","-1.572","0"
"1961/06/01","00:00","13.028","NaN","10.909","5.479","5.449","-0.01","NaN","-1.972","0"
"1961/07/01","00:00","13.13","NaN","10.997","5.469","5.489","-0.03","NaN","-2.172","0"
"1961/08/01","00:00","12.93","NaN","10.778","5.358","5.348","-0.082","NaN","-2.27","0"
"1961/09/01","00:00","12.93","NaN","10.83","5.41","5.39","-0.043","NaN","-1.87","0"
"1961/10/01","00:00","13.228","NaN","10.889","5.528","5.528","0.18","NaN","-1.67","0"
"1961/11/01","00:00","12.828","NaN","10.909","5.577","5.577","0.249","NaN","-1.171","0"
"1961/12/01","00:00","12.828","NaN","10.699","5.449","5.469","0.23","NaN","-1.47","0"
"1962/01/01","00:00","13.73","NaN","10.489","5.24","5.21","-0.072","NaN","-2.172","0"
"1962/02/01","00:00","13.428","NaN","10.689","5.269","5.289","-0.121","NaN","-2.27","0"
"1962/03/01","00:00","13.53","NaN","11.01","5.62","5.587","0.157","NaN","-2.172","0"
"1962/04/01","00:00","12.628","NaN","10.86","5.4","5.39","-0.082","NaN","-2.572","0"
"1962/05/01","00:00","12.93","NaN","10.919","5.449","5.42","-0.082","NaN","-1.87","0"
"1962/06/01","00:00","NaN","NaN","10.86","5.489","5.449","0.039","NaN","NaN","0"
"1962/07/01","00:00","12.828","NaN","11.06","5.738","5.689","0.318","NaN","-1.27","0"
"1962/08/01","00:00","12.93","NaN","10.787","5.469","5.479","0.167","NaN","-1.67","0"
"1962/09/01","00:00","12.93","NaN","10.758","5.459","5.449","0.138","NaN","-1.972","0"
"1962/10/01","00:00","13.13","NaN","10.997","5.669","5.65","0.308","NaN","-2.572","0"
"1962/11/01","00:00","13.73","NaN","11.089","5.65","5.679","0.269","NaN","-1.772","0"
"1962/12/01","00:00","13.829","NaN","11.24","5.787","5.768","0.308","NaN","-1.972","0"
"1963/01/01","00:00","14.829","NaN","11.04","5.548","5.548","0.059","NaN","-2.27","0"
"1963/02/01","00:00","12.73","NaN","10.719","5.249","5.259","-0.21","NaN","-2.27","0"
"1963/03/01","00:00","13.028","NaN","10.958","5.469","5.459","-0.043","NaN","-2.27","0"
"1963/04/01","00:00","13.829","NaN","10.909","5.479","5.489","0.069","NaN","-2.27","0"
"1963/05/01","00:00","12.828","NaN","10.787","5.41","5.42","0.059","NaN","-2.572","0"
"1963/06/01","00:00","13.228","NaN","10.82","5.548","5.518","0.23","NaN","-1.972","0"
"1963/07/01","00:00","13.028","NaN","10.778","5.528","5.518","0.269","NaN","-1.171","0"
"1963/08/01","00:00","12.028","NaN","10.758","5.548","5.538","0.328","NaN","-1.171","0"
"1963/09/01","00:00","12.329","NaN","10.709","5.42","5.44","0.157","NaN","-1.371","0"
"1963/10/01","00:00","12.828","NaN","10.81","5.41","5.42","0.039","NaN","-2.172","0"
"1963/11/01","00:00","NaN","NaN","11.249","5.797","5.797","0.309","NaN","NaN","4"
"1963/12/01","00:00","13.428","NaN","10.889","5.4","5.4","-0.092","NaN","-3.471","0"
"1964/01/01","00:00","12.73","NaN","11.02","5.518","5.548","0.089","NaN","-1.972","0"
"1964/02/01","00:00","12.93","NaN","10.83","5.469","5.469","0.108","NaN","-1.772","0"
"1964/03/01","00:00","12.53","NaN","10.86","5.469","5.489","0.118","NaN","-1.47","0"
"1964/04/01","00:00","12.428","NaN","10.43","5.138","5.148","-0.141","NaN","-2.372","0"
