Product,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
Fishery Products,0,0,0,0,0,134800,242892,195268,267414,332934,480554,847140,1041476,929063,1103368,1013711,926406,863121,1031037,1326528,1616599,2229163,2345686,2879839,3156518,3441348,3043208,3097181,3268864,3045091,2683394,2230679,2860606,2873278,3131215,3027451,3132219,3566944,3919227,4061728,4094985,4073830,3830787,4328560,5386094,5259118,5366030,5496961,5362781,5204284,5582729,5435235,5030274,4157577,4948448,5102184,4729728,4570370
Year,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
