Stock Name,,Atlantic cod - Gulf of Maine,Atlantic cod - Gulf of Maine,Atlantic cod - Gulf of Maine,Atlantic cod - Gulf of Maine,Atlantic cod - Gulf of Maine,Atlantic cod - Gulf of Maine,Atlantic cod - Gulf of Maine,Atlantic cod - Gulf of Maine,Atlantic cod - Gulf of Maine,Atlantic cod - Gulf of Maine,Atlantic cod - Gulf of Maine,Atlantic cod - Gulf of Maine,Atlantic cod - Gulf of Maine,Atlantic cod - Gulf of Maine,Atlantic cod - Gulf of Maine,Atlantic cod - Gulf of Maine,Atlantic menhaden - Atlantic Coast,Atlantic menhaden - Atlantic Coast,Atlantic menhaden - Atlantic Coast,Atlantic menhaden - Atlantic Coast,Atlantic menhaden - Atlantic Coast,Atlantic menhaden - Atlantic Coast,Atlantic menhaden - Atlantic Coast,Atlantic menhaden - Atlantic Coast,Atlantic wolffish - Gulf of Maine / Georges Bank,Atlantic wolffish - Gulf of Maine / Georges Bank,Atlantic wolffish - Gulf of Maine / Georges Bank,Atlantic wolffish - Gulf of Maine / Georges Bank,Atlantic wolffish - Gulf of Maine / Georges Bank,Atlantic wolffish - Gulf of Maine / Georges Bank,Atlantic wolffish - Gulf of Maine / Georges Bank,Atlantic wolffish - Gulf of Maine / Georges Bank,Atlantic wolffish - Gulf of Maine / Georges Bank,Atlantic wolffish - Gulf of Maine / Georges Bank,Atlantic wolffish - Gulf of Maine / Georges Bank,Atlantic wolffish - Gulf of Maine / Georges Bank,Atlantic wolffish - Gulf of Maine / Georges Bank,Atlantic wolffish - Gulf of Maine / Georges Bank,Atlantic wolffish - Gulf of Maine / Georges Bank,Atlantic wolffish - Gulf of Maine / Georges Bank,Atlantic wolffish - Gulf of Maine / Georges Bank,Atlantic wolffish - Gulf of Maine / Georges Bank,Atlantic wolffish - Gulf of Maine / Georges Bank,Atlantic wolffish - Gulf of Maine / Georges Bank,Haddock - Gulf of Maine,Haddock - Gulf of Maine,Haddock - Gulf of Maine,Haddock - Gulf of Maine,Haddock - Gulf of Maine,Haddock - Gulf of Maine,Haddock - Gulf of Maine,Haddock - Gulf of Maine,Haddock - Gulf of Maine,Haddock - Gulf of Maine,Haddock - Gulf of Maine,Haddock - Gulf of Maine,Haddock - Gulf of Maine,Haddock - Gulf of Maine,Haddock - Gulf of Maine,Haddock - Gulf of Maine,Haddock - Gulf of Maine,Haddock - Gulf of Maine,Haddock - Gulf of Maine,Haddock - Gulf of Maine,Haddock - Gulf of Maine,Haddock - Gulf of Maine,Haddock - Gulf of Maine,Haddock - Gulf of Maine,Haddock - Gulf of Maine,Haddock - Gulf of Maine,Haddock - Gulf of Maine,Haddock - Gulf of Maine,Haddock - Gulf of Maine,Haddock - Gulf of Maine,Haddock - Gulf of Maine,Haddock - Gulf of Maine,Pollock - Gulf of Maine / Georges Bank,Pollock - Gulf of Maine / Georges Bank,Pollock - Gulf of Maine / Georges Bank,Pollock - Gulf of Maine / Georges Bank,Pollock - Gulf of Maine / Georges Bank,Pollock - Gulf of Maine / Georges Bank,Pollock - Gulf of Maine / Georges Bank,Pollock - Gulf of Maine / Georges Bank,Pollock - Gulf of Maine / Georges Bank,Pollock - Gulf of Maine / Georges Bank,Pollock - Gulf of Maine / Georges Bank,Pollock - Gulf of Maine / Georges Bank,Pollock - Gulf of Maine / Georges Bank,Pollock - Gulf of Maine / Georges Bank,Pollock - Gulf of Maine / Georges Bank,Pollock - Gulf of Maine / Georges Bank,Pollock - Gulf of Maine / Georges Bank,Pollock - Gulf of Maine / Georges Bank,Pollock - Gulf of Maine / Georges Bank,Pollock - Gulf of Maine / Georges Bank,Pollock - Gulf of Maine / Georges Bank,Pollock - Gulf of Maine / Georges Bank,Pollock - Gulf of Maine / Georges Bank,Pollock - Gulf of Maine / Georges Bank,Pollock - Gulf of Maine / Georges Bank,Pollock - Gulf of Maine / Georges Bank,Pollock - Gulf of Maine / Georges Bank,White hake - Gulf of Maine / Georges Bank,White hake - Gulf of Maine / Georges Bank,White hake - Gulf of Maine / Georges Bank,White hake - Gulf of Maine / Georges Bank,White hake - Gulf of Maine / Georges Bank,White hake - Gulf of Maine / Georges Bank,White hake - Gulf of Maine / Georges Bank,White hake - Gulf of Maine / Georges Bank,White hake - Gulf of Maine / Georges Bank,White hake - Gulf of Maine / Georges Bank,White hake - Gulf of Maine / Georges Bank,White hake - Gulf of Maine / Georges Bank,White hake - Gulf of Maine / Georges Bank,White hake - Gulf of Maine / Georges Bank,White hake - Gulf of Maine / Georges Bank,White hake - Gulf of Maine / Georges Bank,White hake - Gulf of Maine / Georges Bank,White hake - Gulf of Maine / Georges Bank,White hake - Gulf of Maine / Georges Bank,White hake - Gulf of Maine / Georges Bank,White hake - Gulf of Maine / Georges Bank,White hake - Gulf of Maine / Georges Bank,White hake - Gulf of Maine / Georges Bank,White hake - Gulf of Maine / Georges Bank,White hake - Gulf of Maine / Georges Bank,White hake - Gulf of Maine / Georges Bank,White hake - Gulf of Maine / Georges Bank,Winter flounder - Gulf of Maine,Winter flounder - Gulf of Maine,Winter flounder - Gulf of Maine,Winter flounder - Gulf of Maine,Winter flounder - Gulf of Maine,Winter flounder - Gulf of Maine,Winter flounder - Gulf of Maine,Winter flounder - Gulf of Maine,Winter flounder - Gulf of Maine,Winter flounder - Gulf of Maine,Winter flounder - Gulf of Maine,Winter flounder - Gulf of Maine,Winter flounder - Gulf of Maine,Winter flounder - Gulf of Maine,Winter flounder - Gulf of Maine,Winter flounder - Gulf of Maine,Winter flounder - Gulf of Maine,Winter flounder - Gulf of Maine,Yellowtail flounder - Cape Cod / Gulf of Maine,Yellowtail flounder - Cape Cod / Gulf of Maine,Yellowtail flounder - Cape Cod / Gulf of Maine,Yellowtail flounder - Cape Cod / Gulf of Maine,Yellowtail flounder - Cape Cod / Gulf of Maine,Yellowtail flounder - Cape Cod / Gulf of Maine,Yellowtail flounder - Cape Cod / Gulf of Maine,Yellowtail flounder - Cape Cod / Gulf of Maine,Yellowtail flounder - Cape Cod / Gulf of Maine,Yellowtail flounder - Cape Cod / Gulf of Maine,Yellowtail flounder - Cape Cod / Gulf of Maine,Yellowtail flounder - Cape Cod / Gulf of Maine,Yellowtail flounder - Cape Cod / Gulf of Maine,Yellowtail flounder - Cape Cod / Gulf of Maine,Yellowtail flounder - Cape Cod / Gulf of Maine,Yellowtail flounder - Cape Cod / Gulf of Maine,Yellowtail flounder - Cape Cod / Gulf of Maine,Yellowtail flounder - Cape Cod / Gulf of Maine,Yellowtail flounder - Cape Cod / Gulf of Maine,Yellowtail flounder - Cape Cod / Gulf of Maine,Yellowtail flounder - Cape Cod / Gulf of Maine,Yellowtail flounder - Cape Cod / Gulf of Maine,Yellowtail flounder - Cape Cod / Gulf of Maine,Yellowtail flounder - Cape Cod / Gulf of Maine
,2003,6686,6686,6356,6356,8314.400391,0.75,2798,12353,7537.299805,0.680400014,1681,16539,7647,0.452100009,22048,20977,200.2783966,0.151230007,85.90367126,2427078,200.3159943,0.129999995,83.39600372,2410924,156.4499969,0.432000011,78,756,156.4499969,0.456999987,76,745,148.6999969,0.497000009,77,716,148.6799927,0.546999991,82,766,151.5399933,0.63499999,96,704,1373.400024,14629,0.152999997,313,1373.400024,0.158999994,334,14438,1475,0.173999995,275,12566,1346.699951,0.185000002,256.8999939,12109.40039,1346.699951,0.200000003,219.1000061,11340.7998,1023,0.150000006,82,14741,1023,0.180000007,429,11747,1429,5.360000134,0.170000002,0.347499996,6074,0.028000001,15719,282609,6074,0.032000002,19500,310000,5759,0.032000002,16700,270000,5736,0.057999998,16800,277000,5736,0.059999999,11500,159000,5810,0.050000001,13800,199000,12884,2.197000027,2.828999996,4435,0.393000007,2478,13583,4435,0.444000006,2109,12753,4888,0.437000006,2257,13370,4888,0.430999994,2319,13548,4435,0.460000008,2458,13322,5081,0.386999995,3726.800049,16934.40039,4563,3.339999914,1.330000043,784,,,785,,,,,,,,,755,801,732.5684814,0.289700001,15016.75,2890,1970,1230,1.468000054,3680,1970,1.468000054,3680,1230,1.970000029,1.468000054,3680,1309,1.970000029,1.470000029,3680,1350,1970,1.460000038,3905,1359,1967,1.074000001,4,1479
,2004,7005,7005,5769,5769,7072,0.720000029,8570,10420,5817,0.540499985,10966,13693,5537,0.629700005,,18793,215.3108063,0.175799996,77.16786194,2113787,215.3139954,0.159999996,78.22200012,2069614,133.0299988,0.391000003,63,667,133.0299988,0.412999988,63,658,131.6999969,0.469999999,65,639,131.7100067,0.50999999,71,679,131.2100067,0.600000024,77,655,1413.800049,12572,0.150000006,8391,1413.800049,0.151999995,8998,12496,1310,0.162,7433,10775,1307.900024,0.171000004,7044.899902,10361.40039,1307.900024,0.189999998,6281.200195,9640.5,946.5,0.140000001,4251,12545,946.5,0.180000007,4719,9743,1256,5.789999962,0.180000007,,6986,0.028999999,17057,286611,6999,0.027000001,21500,334000,6099,0.027000001,18400,293000,6064,0.046,21800,296000,6075,0.050000001,15500,174000,6083,0.039999999,18100,214000,12061,1.99000001,3.635999918,3511,0.321999997,2357,12317,3511,0.36500001,1935,11265,3709,0.345999986,2049,12010,3721,0.331999987,2134,12271,3511,0.349999994,2296,12999,4229,0.345999986,3737.600098,16163,3595,3.00999999,1.179999948,674,,,674,,,,,,,,,623,687,507.160553,0.128099993,17607.09961,3436,1186,783,1.730000019,2953,1186,1.730000019,2954,783,1.190000057,1.730000019,2954,842,1.190000057,1.730000019,2955,875,1186,1.700000048,3947,902,962,0.749000013,6.159999847,1111
,2005,7088,7088,5258,5258,6845.399902,0.870000005,5405,8874,5635.899902,0.636200011,6713,10974,,,,,192.5572968,0.180969998,129.4351959,1786786,192.7299957,0.159999996,132.1940002,1734170,132.1000061,0.460000008,47,586,132.1000061,0.486000001,50,577,127.3000031,0.532999992,53,556,127.3000031,0.57099998,59,594,126.2699966,0.633000016,61,594,1734.199951,10620,0.209000006,531,1734.199951,0.232999995,584,10905,1584,0.254000008,481,9298,1576.699951,0.263999999,451.2000122,8847.700195,1576.699951,0.289999992,386,8098.5,961.5,0.189999998,501,10125,961.5,0.25999999,474,7789,,,,,7455,0.023,17789,286773,7458,0.028999999,18000,333000,7255,0.028999999,16500,288000,7228,0.046999998,13100,292000,7250,0.050000001,9060,181000,7401,0.039999999,11900,222000,,,,2670,0.296000004,3379,10708,2670,0.34799999,3152,9470,2849,0.323000014,3323,10325,2849,0.305999994,3523,10752,2670,0.310000002,3841,11577,3136,0.27700001,7157.600098,16053.7002,,,,368,,,371,,,,,,,,,336,387,,,,,997,550,1.684999943,2921,997,1.684999943,2923,550,1,1.684999943,2922,636,1,1.679999948,2927,688,997,1.529999971,5653,796,,,,
,2006,4264,4264,4207,4207,4996.5,0.639999986,8950,8427,4536.100098,0.581099987,23910,19139,,,,,186.9459991,0.219720006,115.9469986,1598310,186.7910004,0.189999998,123.4820023,1568668,98.48999786,0.442999989,60,476,98.48999786,0.469999999,64,468,98.5,0.550999999,74,453,98.52999878,0.577000022,83,496,99.68000031,0.474999994,110,521,1118.699951,10030,0.163000003,1532,1118.699951,0.167999998,1724,10550,1175,0.215000004,1419,8756,1166.900024,0.225999996,1325.199951,8218.900391,1166.900024,0.239999995,1118.400024,7442.799805,618.2000122,0.189999998,1378,7958,618.2000122,0.270000011,2134,6275,,,,,7280,0.028999999,20140,276856,7281,0.029999999,22300,321000,7126,0.029999999,21100,277000,7078,0.045000002,22600,293000,7110,0.050000001,15600,193000,6959,0.039999999,14000,236000,,,,1700,0.184,3838,11025,700,0.224000007,3838,9407,1851,0.202000007,4085,10483,1854,0.189999998,4356,11000,1700,0.189999998,4946,11134,2256,0.188999996,7871,17303.19922,,,,260,,,262,,,,,,,,,201,247,,,,,620,518,1.480999947,3570,619,1.480999947,3579,519,0.620000005,1.480999947,3574,610,0.620000005,1.480000019,3593,667,620,1.00999999,10185,1080,,,,
,2007,5966,5966,5485,5485,6447.799805,0.620000005,6748,10778,5627.799805,0.45570001,4808,33877,,,,,218.4597015,0.191339999,68.26210022,2033976,218.3999939,0.159999996,77.29000092,2051362,81.58000183,0.379999995,75,395,81.58000183,0.404000014,74,387,75,0.421000004,87,368,75,0.430999994,88,417,77.26000214,0.330000013,300,490,1879.199951,8994,0.342000008,1748,1879.199951,0.349999994,2026,9475,1349,0.31099999,1676,7764,1343.199951,0.321999997,1540.699951,7270.799805,1343.199951,0.370000005,1218.300049,6427.299805,673.7000122,0.230000004,1723,6796,696.4000244,0.349999994,3573,5846,,,,,9673,0.039000001,19833,259113,9678,0.045000002,20300,311000,9267,0.045000002,20300,264000,9280,0.066,23300,282000,9308,0.07,17000,178000,9278,0.050000001,16400,224000,,,,1529,0.118000001,3171,14127,1529,0.148000002,3067,11826,1621,0.148000002,3335,12351,1622,0.126000002,3533,13721,1529,0.129999995,4047,14205,2163,0.151999995,4865.5,19809.5,,,,324,,,325,,,,,,,,,254,297,,,,,633,658,1.059000015,3400,633,1.057999969,3422,659,0.629999995,1.057999969,3411,740,0.629999995,1.059999943,3458,788,627,0.409999996,3540,1922,,,,
,2008,8303,8303,7186,7186,8817.5,0.769999981,6679,12561,,,,,,,,,189.9904938,0.161149994,101.1544037,2192347,190.0180054,0.129999995,115.6600037,2277204,70.34999847,0.509000003,59,352,70.34999847,0.550999999,62,344,63.70000076,0.512000024,67,335,63.72999954,0.488000005,68,389,62.99000168,0.363000005,302,492,1550,7576,0.312999994,317,1550,0.319000006,383,8121,1162,0.280000001,314,6876,1161.599976,0.298000008,279.3999939,6368.899902,1161.599976,0.340000004,215.1999969,5464.399902,508.5,0.25999999,287,4481,,,,,,,,,15569,0.089000002,20411,244991,15629,0.075000003,18200,300000,12197,0.075000003,20400,248000,12216,0.108000003,27200,271000,12239,0.109999999,20800,165000,12194,0.079999998,20800,227000,,,,1333,0.115999997,3480,14976,1333,0.144999996,3475,12624,1543,0.133000001,3822,13678,1551,0.123000003,4013,14988,1333,0.119999997,5053,15888,,,,,,,,506,,,506,,,,,,,,,288,405,,,,,699,758,1.171000004,3714,699,1.167999983,3755,760,0.699999988,1.169999957,3735,869,0.699999988,1.159999967,3816,944,,,,,,,,
,2009,9485,9485,8247,8247,9918.200195,0.800000012,5281,13559,,,,,,,,,184.1891022,0.160429999,95.15345001,2060788,184.0850067,0.129999995,107.0690002,2227542,47.61000061,0.342000008,55,294,47.61000061,0.34799999,59,284,40.40000153,0.284000009,64,296,40.40999985,0.266000003,78,356,44.95000076,0.219999999,302,482,1348.699951,6543,0.277999997,468,1348.699951,0.287999988,598,7119,948,0.225999996,519,6263,945.5999756,0.246999994,438.1000061,5735.200195,945.5999756,0.289999992,301.3999939,4771.100098,486,0.529999971,226,3864,,,,,,,,,9855,0.067000002,14739,225718,9892,0.064999998,12400,278000,8735,0.064999998,14300,232000,8755,0.094999999,15400,251000,8766,0.100000001,12500,152000,8735,0.07,20800,196000,,,,1696,0.142000005,3408,14480,1696,0.173999995,3483,12471,1859,0.159999996,3858,13801,1874,0.149000004,3925,14662,1696,0.140000001,5672,16017,,,,,,,,471,5671,0.083049998,471,6441,0.073129997,359,0.068000004,5274,359,0.050000001,7612,283,367,,,,,639,928,0.759000003,3911,639,0.754000008,4005,936,0.639999986,0.755999982,3959,1041,0.639999986,0.75,4151,1121,,,,,,,,
,2010,9100,9100,7517,7517,11392.40039,1.139999986,4286,11868,,,,,,,,,226.8692932,0.220149994,177.2171021,1715275,226.8430023,0.170000002,203.3899994,1910667,4.769999981,0.023,63,279,4.769999981,0.025,66,274,4.599999905,0.024,80,303,4.639999866,0.023,154,369,17.46999931,0.068999998,302,505,1294.900024,5336,0.32100001,1378,1294.900024,0.317000002,1844,5928,966,0.263999999,1590,5401,958.0999756,0.287,1345.199951,4876.700195,958.0999756,0.360000014,966,3903.800049,561.0999756,0.819999993,722,2868,,,,,,,,,10858,0.085000001,19379,202538,10897,0.061999999,19700,246000,7217,0.061999999,23300,207000,7373,0.093000002,26600,228000,7393,0.090000004,18400,138000,,,,,,,,1808,0.115999997,3022,18272,1808,0.138999999,3034,15998,2002,0.127000004,3359,17836,2014,0.118000001,3505,18782,1808,0.109999999,5898,21106,,,,,,,,268,4144,0.064669997,268,5367,0.049929999,187,0.043000001,4393,187,0.029999999,6341,140,195,,,,,633,1214,0.508000016,3178,633,0.500999987,3321,1231,0.629999995,0.504000008,3251,1357,0.629999995,0.49000001,3542,1473,,,,,,,,
,2011,8007,8007,6673,6673,,,,,,,,,,,,,227.9335022,0.210969999,94.62007141,2934569,227.8569946,0.150000006,99.33200073,2275493,5.75,0.024,57,323,5.75,0.025,57,320,4.599999905,0.018999999,86,353,4.550000191,0.017999999,298,433,,,,,925.9000244,4336,0.296999991,12092,925.9000244,0.266000003,17611,5020,745,0.230000004,15858,4667,744.2000122,0.25999999,11546.90039,4086,744.2000122,0.340000004,6658.600098,3061.5,,,1124,,,,,,,,,,13764,0.109999999,25703,195608,13792,0.082999997,29700,235000,9736,0.082999997,35600,204000,9738,0.123999998,34900,225000,9761,0.129999995,20600,137000,,,,,,,,2897,0.155000001,2374,21494,2897,0.180999994,2867,19158,3039,0.163000003,3072,21517,3039,0.150999993,3409,22824,2897,0.129999995,4006,26877,,,,,,,,389,5000,0.077799998,390,5638,0.069169998,219,0.046999998,4618,219,0.029999999,6666,173,,,,,,758,1353,0.68599999,2735,758,0.66900003,3232,1390,0.75999999,0.676999986,2988,1498,0.75999999,0.649999976,3332,1659,,,,,,,,
,2012,4204,4204,3472,3472,,,,,,,,,,,,,226.2234039,0.166859999,72.57637787,3083613,226.1690063,0.119999997,76.64499664,3479805,2.789999962,0.01,50,368,2.789999962,0.01,51,368,2.5,0.009,127,410,2.470000029,0.008,298,498,,,,,1059.699951,4708,0.451999992,3537,1059.699951,0.382999986,5800,6215,751,0.293000013,5496,5733,739.0999756,0.337000012,3930,4550.700195,739.0999756,0.49000001,2090.100098,2961.300049,,,,,,,,,,,,,10356,0.082999997,40192,177930,10369,0.07,51100,209000,8243,0.07,60600,188000,8277,0.104000002,72000,210000,8293,0.100000001,50000,129000,,,,,,,,2770,0.147,1991,21919,2770,0.169,2820,19778,2887,0.151999995,2746,22534,2967,0.136000007,3000,24156,,,,,,,,,,,,426,2635,0.161669999,426,2822,0.150959998,381,0.165000007,2312,381,0.109999999,3337,348,,,,,,1092,1039,1.126999974,2271,1092,1.062000036,3086,1117,1.090000033,1.093000054,2685,1117,1.090000033,0.980000019,4666,1284,,,,,,,,
,2013,2723,2723,1777,1777,,,,,,,,,,,,,168.8623047,0.122220002,91.98988342,2674481,168.6900024,0.090000004,100.25,2987642,1.580000043,0.005,45,424,1.580000043,0.005,46,425,1.600000024,0.005,288,477,1.559999943,0.004,298,564,,,,,1277,6748,0.449000001,13031,1277.099976,0.349000007,24849,9963,816,0.238999993,25080,9325,793.2999878,0.296000004,18186.30078,6907.100098,692.4000244,0.389999986,16565.09961,4153.5,,,,,,,,,,,,,13384,0.120999999,35312,169953,13428,0.071999997,50600,196000,8164,0.071999997,46400,185000,8594,0.100000001,41100,206000,8304,0.100000001,8990,126000,,,,,,,,2235,0.115999997,2502,21867,2235,0.128999993,3238,20222,2306,0.115000002,2820,23221,2353,0.103,3674,25092,,,,,,,,,,,,288,2183,0.131929994,288,2477,0.116269998,254,0.125,2032,254,0.090000004,2932,218,,,,,,676,725,1.208999991,3412,676,1.014999986,5614,903,0.680000007,1.101999998,4046,873,0.680000007,0.819999993,8013,1180,,,,,,,,
,2014,1806,1806,1471,1471,,,,,,,,,,,,,174.2201996,0.161630005,83.28862762,2095540,174.0099945,0.129999995,98.12599945,2310353,1.25,0.003,39,476,1.25,0.003,44,479,1.200000048,0.003,289,537,1.220000029,0.003,298,638,,,,,1409.900024,9787,0.345999986,83932,1411.5,0.254000008,140737,15575,1012,0.191,93341,14775,1021.200012,0.256999999,26456.59961,10325.2002,,,,,,,,,,,,,,,,,8613,0.104000002,42577,159022,8632,0.050000001,75100,184000,5777,0.050000001,103700,181000,6071,0.07,60000,155000,,,,,,,,,,,,1906,0.104999997,2720,20783,1906,0.114,2960,19739,1980,0.098999999,2896,22652,2011,0.075999998,1343,28553,,,,,,,,,,,,315,3332,0.09454,315,3924,0.080279998,275,0.085000001,3225,275,0.059999999,4655,,,,,,,475,705,0.643999994,2923,475,0.439999998,5241,1067,0.479999989,0.521000028,5728,942,0.479999989,0.639999986,10268,857,,,,,,,,
,2015,420,420,325,,,,,,,,,,,,,,191.1092987,0.20792,103.5286026,1659040,190.7839966,0.159999996,177.5809937,1842063,1.320000052,0.003,56,522,1.320000052,0.003,73,529,1.299999952,0.003,289,593,,,,,,,,,1512.400024,19437,0.216999993,4915,1513.099976,0.143999994,7962,34226,1106,0.115999997,4724,29833,,,,,,,,,,,,,,,,,,,,,6138,0.066,29008,180571,6140,0.033,49900,209000,4212,0.033,43300,207000,,,,,,,,,,,,,,,,1641,0.093999997,3082,19143,1641,0.097000003,3334,18986,1680,0.085000001,5497,21600,,,,,,,,,,,,,,,,271,2432,0.111429997,271,2815,0.096270002,217,0.093999997,2307,,,,,,,,,,351,964,0.360000014,2357,351,0.203999996,5784,1726,0.349999994,0.259000003,7774,1439,,,,,,,,,,,,
,2016,850,850,599,,,,,,,,,,,,,,188.4358978,0.217920005,70.04641724,1704738,187.5549927,0.150000006,163.9329987,2079688,0.879999995,0.002,96,567,0.879999995,0.002,276,577,0.899999976,0.002,289,652,,,,,,,,,3406.300049,32445,0.277999997,5169,3405.800049,0.180000007,7502,58404,2313,0.136999995,3638,47821,,,,,,,,,,,,,,,,,,,,,5226,0.050999999,19866,183767,5231,0.026000001,36000,221000,3676,0.035999998,20100,184000,,,,,,,,,,,,,,,,1369,0.064999998,2521,22186,1369,0.066,2080,22494,1396,0.066,4925,21276,,,,,,,,,,,,,,,,240,3037,0.07903,241,3156,0.076360002,221,0.086000003,2585,,,,,,,,,,368,1126,0.272000015,3953,368,0.133000001,5719,2306,0.370000005,0.31400001,10165,1191,,,,,,,,,,,,
,2017,1177,1171,,,,,,,,,,,,,,,177.3381042,0.197640002,54.69520187,1702694,175.1320038,0.109999999,52.88399887,2601550,2.329999924,0.005,138,607,2.329999924,0.005,280,620,,,,,,,,,,,,,4894.100098,36189,0.270000011,6976,4843.299805,0.166999996,12480,65397,,,,,,,,,,,,,,,,,,,,,,,,,6597,0.056000002,19446,200551,6596,0.044,32400,250000,,,,,,,,,,,,,,,,,,,,2024,0.093000002,2757,23673,2024,0.090999998,3168,24386,,,,,,,,,,,,,,,,,,,,378,3039,0.12438,378,3380,0.111830004,,,,,,,,,,,,,365,1216,0.280000001,6517,365,0.118000001,7524,2857,,,,,,,,,,,,,,,,
,2018,766,753,,,,,,,,,,,,,,,193.5106964,0.239600003,110.0998993,1602659,,,,,2.519999981,0.005,273,638,2.519999981,0.005,280,652,,,,,,,,,,,,,3709.899902,34312,0.175999999,5629,3731.399902,0.082000002,3246,82763,,,,,,,,,,,,,,,,,,,,,,,,,4772,0.037999999,20370,207766,4779,0.037999999,24200,212416,,,,,,,,,,,,,,,,,,,,2009,0.112999998,2975,19359,2009,0.128999993,4038,15891,,,,,,,,,,,,,,,,,,,,243,2610,0.093099996,244,2898,0.084200002,,,,,,,,,,,,,271,1299,0.232999995,13357,271,0.092,5537,2127,,,,,,,,,,,,,,,,
,2019,497,,,,,,,,,,,,,,,,210.0677032,0.310009986,153.9432983,1625224,,,,,2.75999999,0.005,274,660,2.75999999,0.005,280,676,,,,,,,,,,,,,4542.100098,29887,0.211999997,2080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4265,0.035999998,18831,177261,,,,,,,,,,,,,,,,,,,,,,,,1976,0.101999998,2630,21276,,,,,,,,,,,,,,,,,,,,,,,,150,2620,0.057250001,150,2862,0.052409999,,,,,,,,,,,,,228,2119,0.155000001,20854,,,5832,,,,,,,,,,,,,,,,,
,2020,,,,,,,,,,,,,,,,,186.1544037,0.231670007,158.8860931,1705181,,,,,2.450000048,0.004,274,674,,,,,,,,,,,,,,,,,4858.299805,22988,0.282000005,3059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5231,0.046999998,28368,187710,,,,,,,,,,,,,,,,,,,,,,,,1990,0.086000003,1912,25059,,,,,,,,,,,,,,,,,,,,,,,,134,,,,,,,,,,,,,,,,,,192,3873,0.059999999,9269,,,,,,,,,,,,,,,,,,,,
,2021,,,,,,,,,,,,,,,,,197.7545929,0.160779998,101.0792007,2570081,,,,,2.349999905,0.004,274,690,,,,,,,,,,,,,,,,,4602.399902,16528,0.375,22781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4522,0.052000001,12833,175573,,,,,,,,,,,,,,,,,,,,,,,,1869,0.104000002,1740,19497,,,,,,,,,,,,,,,,,,,,,,,,168,5093,0.033,,,,,,,,,,,,,,,,365,3058,0.104000002,10413,,,,,,,,,,,,,,,,,,,,
,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
