"Date","Time (GMT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"1955/05/01","00:00","11.544","NaN","9.477","4.946","4.907","0.346","NaN","-2.154","0"
"1955/06/01","00:00","11.944","NaN","9.546","5.005","5.005","0.455","NaN","-1.655","0"
"1955/07/01","00:00","11.544","NaN","9.326","4.897","4.887","0.455","NaN","-1.553","0"
"1955/08/01","00:00","11.147","NaN","9.385","4.907","4.907","0.415","NaN","-1.353","0"
"1955/09/01","00:00","10.346","NaN","9.254","4.756","4.746","0.235","NaN","-0.956","0"
"1955/10/01","00:00","11.646","NaN","9.556","5.015","5.015","0.474","NaN","-1.255","0"
"1955/11/01","00:00","12.144","NaN","9.464","4.887","4.887","0.317","NaN","-3.456","0"
"1955/12/01","00:00","11.846","NaN","9.185","4.556","4.546","-0.103","NaN","-2.055","0"
"1956/01/01","00:00","11.245","NaN","9.556","4.897","4.887","0.205","NaN","-2.255","0"
"1956/02/01","00:00","11.347","NaN","9.136","4.575","4.566","0.005","NaN","-2.754","0"
"1956/03/01","00:00","12.246","NaN","9.224","4.795","4.687","0.136","NaN","-1.353","0"
"1956/04/01","00:00","11.147","NaN","9.424","5.166","4.926","0.425","NaN","-1.255","0"
"1956/05/01","00:00","NaN","NaN","9.175","4.766","4.746","0.317","NaN","NaN","0"
"1956/06/01","00:00","NaN","NaN","9.405","4.887","4.864","0.327","NaN","NaN","0"
"1956/07/01","00:00","11.944","NaN","9.526","4.946","4.926","0.327","NaN","-1.455","0"
"1956/08/01","00:00","NaN","NaN","9.595","4.986","4.976","0.356","NaN","NaN","0"
"1956/09/01","00:00","NaN","NaN","9.395","4.844","4.825","0.255","NaN","NaN","0"
"1956/10/01","00:00","11.245","NaN","9.254","4.687","4.664","0.084","NaN","-1.353","0"
"1956/11/01","00:00","10.845","NaN","9.336","4.805","4.795","0.255","NaN","-1.455","0"
"1956/12/01","00:00","10.947","NaN","9.185","4.707","4.687","0.186","NaN","-2.754","0"
"1957/01/01","00:00","11.445","NaN","8.916","4.424","4.415","-0.083","NaN","-2.856","0"
"1957/02/01","00:00","11.744","NaN","9.057","4.536","4.526","-0.005","NaN","-2.055","0"
"1957/03/01","00:00","11.147","NaN","9.356","4.844","4.815","0.274","NaN","-1.953","0"
"1957/04/01","00:00","10.947","NaN","9.106","4.575","4.575","0.035","NaN","-2.055","0"
"1957/05/01","00:00","10.845","NaN","9.297","4.776","4.776","0.245","NaN","-1.455","0"
"1957/06/01","00:00","11.445","NaN","9.287","4.835","4.776","0.274","NaN","-1.153","0"
"1957/07/01","00:00","NaN","NaN","9.556","4.926","4.907","0.255","NaN","NaN","0"
"1957/08/01","00:00","11.245","NaN","9.385","4.756","4.736","0.074","NaN","-2.055","0"
"1957/09/01","00:00","11.544","NaN","9.346","4.776","4.756","0.156","NaN","-1.753","0"
"1957/10/01","00:00","11.544","NaN","9.277","4.815","4.795","0.317","NaN","-1.953","0"
"1957/11/01","00:00","11.445","NaN","9.267","4.844","4.795","0.337","NaN","-1.655","0"
"1957/12/01","00:00","11.245","NaN","9.116","4.654","4.634","0.156","NaN","-1.455","0"
"1958/01/01","00:00","11.544","NaN","9.424","4.897","4.864","0.317","NaN","-1.553","0"
"1958/02/01","00:00","11.646","NaN","9.605","4.926","4.897","0.186","NaN","-1.953","0"
"1958/03/01","00:00","11.744","NaN","9.825","5.225","5.205","0.586","NaN","-1.655","0"
"1958/04/01","00:00","13.047","NaN","9.907","5.156","5.136","0.366","NaN","-1.953","0"
"1958/05/01","00:00","11.445","NaN","9.625","4.917","4.835","0.045","NaN","-2.554","0"
"1958/06/01","00:00","11.544","NaN","9.615","4.844","4.844","0.084","NaN","-1.753","0"
"1958/07/01","00:00","11.045","NaN","9.575","4.936","4.887","0.205","NaN","-1.353","0"
"1958/08/01","00:00","11.245","NaN","9.526","4.917","4.897","0.264","NaN","-1.153","0"
"1958/09/01","00:00","11.445","NaN","9.625","4.956","4.956","0.284","NaN","-1.753","0"
"1958/10/01","00:00","11.347","NaN","9.487","4.946","4.926","0.376","NaN","-2.154","0"
"1958/11/01","00:00","11.944","NaN","9.356","4.835","4.825","0.307","NaN","-2.154","0"
"1958/12/01","00:00","11.744","NaN","9.165","4.625","4.566","-0.024","NaN","-2.354","0"
"1959/01/01","00:00","11.245","NaN","9.336","4.716","4.687","0.035","NaN","-1.553","0"
"1959/02/01","00:00","11.045","NaN","9.014","4.434","4.415","-0.195","NaN","-1.655","0"
"1959/03/01","00:00","11.744","NaN","9.254","4.644","4.566","-0.136","NaN","-2.154","0"
"1959/04/01","00:00","11.646","NaN","9.424","4.966","4.776","0.127","NaN","-2.055","0"
"1959/05/01","00:00","NaN","NaN","9.267","4.644","4.634","0.005","NaN","NaN","0"
"1959/06/01","00:00","11.944","NaN","9.507","4.897","4.874","0.245","NaN","-1.553","0"
"1959/07/01","00:00","11.245","NaN","9.126","4.615","4.585","0.054","NaN","-1.553","0"
"1959/08/01","00:00","10.947","NaN","9.385","4.854","4.844","0.307","NaN","-1.255","0"
"1959/09/01","00:00","10.445","NaN","9.254","4.746","4.726","0.195","NaN","-0.956","0"
"1959/10/01","00:00","11.045","NaN","9.526","4.887","4.874","0.225","NaN","-1.455","0"
"1959/11/01","00:00","12.046","NaN","9.356","4.736","4.707","0.045","NaN","-2.055","0"
