Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1976,15.7,28.2,31.5,44.9,52.3,65.9,65.9,65.4,57.3,43.5,36.1,19.4,43.8
1977,14.2,21.9,36.1,42.4,54.4,59,68.2,66.5,57.6,48.1,39.4,25.4,44.4
1978,21.1,19.2,30.2,40.6,52.7,61,68,68.6,57.8,48.2,36.4,26,44.2
1979,23.6,15.5,35.6,42.1,55.2,62.7,69.3,64.8,57.3,47.4,42.4,29.8,45.5
1980,22.7,20.4,32,44.3,53.7,61,69.6,71.1,61.5,45.9,36.2,21.3,45
1981,13.8,32.2,35.6,45.2,55.3,63.9,68.7,66,58.6,46.6,38.9,29.1,46.2
1982,15,23.3,32.1,42,54.6,58.3,69.2,64.3,59.2,48,41.3,32,44.9
1983,25.2,26.2,35.8,44.4,52,63.8,69.7,67.5,62.9,47.8,40.2,26.1,46.8
1984,19.8,32,28.1,43.3,52.9,63.9,69.5,69.1,57.8,49.6,39.2,31.1,46.4
1985,16.2,26.4,34.8,44.1,53.7,61.7,69.7,66.6,60.7,50.8,39.8,24.6,45.8
1986,24.9,23.3,34.6,46.5,53.6,60.9,66.3,66.1,57.3,47.9,36.3,29.6,45.6
1987,21.6,22.9,34,44.9,54.6,63.7,68,66.2,59.6,47.1,38.1,30.2,45.9
1988,21.6,25.7,34.1,43.5,54.7,63.8,71.1,71.1,59.4,46.5,41,26,46.5
1989,26.8,24,31.6,41.1,55.6,63.9,69.4,68,60.5,49.8,37.3,14,45.2
1990,30.1,25.7,34.6,44.5,51.7,62.4,70.2,69.8,59.8,52.4,41.8,33.6,48.1
1991,23.4,29.8,37,45.9,58.1,65.4,70,69.9,58.1,50.7,40.4,26.4,47.9
1992,23.9,25.8,30.8,41.4,51.8,63.4,65.8,66.8,58.9,47.3,37.6,28.9,45.2
1993,23.4,16.8,29.8,43.3,54.8,64.5,69.8,69.5,59.6,46.2,39,29.9,45.6
1994,14,19.5,33.5,44.5,52.3,66,72.4,66.4,58.4,49.4,41.5,31.5,45.8
1995,27.1,21.2,34.8,41.2,52.2,64.1,70.1,67.4,56.4,52.3,35.7,24.6,45.6
1996,21.4,23.9,29.8,42.9,52.5,63,66.4,67.4,59.7,46.8,35.1,34.5,45.3
1997,23.3,28.6,30.4,41.8,51,63.3,69,67.2,58.7,47,36.1,29.5,45.5
1998,27.1,31.3,36.7,45.8,56.8,60.6,69.5,69.5,61.2,49.2,39.4,32.4,48.3
1999,22.3,29,35.6,44.9,54.4,66.3,71.3,67.7,63.3,46.6,41.9,31.9,47.9
2000,21.5,26.4,37.7,43.3,53.2,63.6,67.1,67.3,59.8,48.9,40.4,24.6,46.2
2001,20.6,24.3,30.6,43.3,54.9,67.1,66.5,69.4,61,50.2,41.3,34.8,47
2002,30.4,28.8,34.8,44.4,52.5,61.4,69.5,70,63.1,47,37,27.4,47.2
2003,16.3,20.2,31.6,40.9,52.2,62.9,69.3,68.8,61.4,48,40.8,29.6,45.2
2004,15,25.8,34.8,44.4,54.2,60.5,66.9,67.8,60.9,49.6,38.8,28,45.6
2005,19.3,25.4,30.1,45,49.3,64.7,69.3,70.2,63.6,50.1,40.7,27.7,46.3
2006,30.2,25.8,34.5,45.7,54.6,65,71.9,66.9,60.3,49,43.8,34.5,48.5
2007,25.9,19.2,32.1,41.8,55.9,63.6,67.9,67.9,61.6,53.7,37.6,25.4,46
2008,26.5,25.9,31.9,44.8,54.2,64.4,70.7,66.2,60.3,48.8,39.3,28.5,46.8
2009,17.5,25.9,32.9,46.7,55.1,61,66.2,69.7,59.1,46.9,43,29.3,46.1
2010,25,30.8,39.8,48.8,57.9,64.6,72.2,69.3,63.4,49.3,40,29.2,49.2
2011,21.4,23.6,33.3,44.7,54.6,62.7,72.7,67.9,62.8,51.4,44.7,33.3,47.8
2012,26.9,30.5,41.1,47,56.6,63.2,71.3,70.8,59.9,52.9,38,32,49.2
2013,25.4,28,34.8,44.2,54.1,64.8,71.6,67.7,59.8,51,37.4,24.3,46.9
2014,21.4,22.1,27,43.3,54.7,64.1,69.8,66.7,60.1,54.5,38.8,33.7,46.4
2015,21.1,13.8,30.2,44.7,59.5,61.4,69.1,70.3,65.3,49,42.5,37.9,47.1
2016,27,28.8,37.8,42.7,54.7,63.7,71.2,71.8,63.8,50.4,41.5,28.1,48.5
2017,29.8,28.7,28.8,46.7,52.9,65,69,67.7,64.6,56.1,38.4,23.3,47.6
2018,21.9,31.6,34,41.8,57.4,63.5,70.9,72.2,63.6,47.8,35.6,29.7,47.5
2019,23.4,26,32,44.7,53,62.8,73.1,69,61.1,51.8,35.7,30.8,46.9
